UserID,DocID,PhoneID,StartX,StartY,StopX,StopY,StrokeDuration,AverageVelocity,MidStrokePressure,MidStrokeArea,MeanPressure,PhOrientation,LenTrajectory,MeanLen,TraceDistance,Velocity,Acceleration
37,4,1.00000,27.41600,-27.11300,12.39800,-32.96000,0.25600,63.01800,0.32000,0.04444,0.28000,1.00000,16.13200,0.35736,16.11600,2719.20000,603320.00000
37,4,1.00000,21.77100,-30.03700,9.87780,-33.86700,0.08600,146.47000,0.60000,0.08889,0.36000,1.00000,12.59600,0.26504,12.49500,502.37000,116600.00000
37,4,1.00000,10.88600,-34.16900,26.91200,-34.67300,0.11100,145.97000,0.48000,0.04444,0.42000,1.00000,16.20300,0.99118,16.03400,263.58000,26382.00000
37,4,1.00000,19.15100,-34.57200,12.70000,-36.79000,0.09400,74.12200,0.40000,0.04444,0.36500,1.00000,6.96740,0.59647,6.82130,230.62000,25874.00000
37,4,1.00000,27.71800,-32.75800,14.61500,-37.29400,0.05600,247.69000,0.44000,0.04444,0.33000,1.00000,13.87100,0.67819,13.86600,993.21000,217040.00000
37,4,1.00000,30.13700,-30.64100,15.82500,-35.47900,0.11500,132.36000,0.40500,0.04444,0.39000,1.00000,15.22200,0.79869,15.10800,226.95000,16290.00000
37,4,1.00000,22.37600,-32.35500,11.39000,-33.96700,0.09100,122.39000,0.50000,0.04444,0.45000,1.00000,11.13800,0.74862,11.10400,265.19000,30661.00000
37,4,1.00000,31.75000,-31.04400,20.76300,-36.28600,0.10200,120.04000,0.39000,0.04444,0.36000,1.00000,12.24400,0.57991,12.17300,250.79000,22327.00000
37,4,1.00000,22.67900,-34.27000,10.68400,-35.37900,0.10300,117.48000,0.47000,0.04444,0.41500,1.00000,12.10000,0.55388,12.04600,223.19000,18936.00000
37,4,1.00000,12.09500,-31.95200,16.42900,-32.45600,0.04500,97.77000,0.38000,0.04444,0.28000,1.00000,4.39960,0.99472,4.36330,200.64000,17182.00000
37,4,1.00000,10.68400,-33.26200,29.93600,-35.88300,0.12800,151.91000,0.56000,0.04444,0.43000,1.00000,19.44400,0.99677,19.42900,192.23000,25071.00000
37,4,1.00000,7.15630,-30.94400,27.01300,-31.75000,0.15700,127.34000,0.55000,0.04444,0.36000,1.00000,19.99200,0.96582,19.87300,200.82000,122270.00000
37,4,1.00000,30.13700,-30.64100,16.93300,-32.15300,0.15500,85.90200,0.31500,0.04444,0.24000,1.00000,13.31500,0.74978,13.29000,164.40000,82897.00000
37,4,1.00000,26.81100,-30.84300,12.70000,-34.77400,0.09000,163.18000,0.43000,0.08889,0.26500,1.00000,14.68700,0.25087,14.64800,2147.30000,652760.00000
37,4,1.00000,9.77700,-36.99100,18.94900,-36.18500,0.13600,73.63500,0.60500,0.04444,0.50000,1.00000,10.01400,0.91172,9.20760,157.57000,11181.00000
37,4,1.00000,9.07140,-37.99900,29.93600,-35.58000,0.13700,157.36000,0.51000,0.04444,0.46000,1.00000,21.55800,0.94390,21.00400,285.16000,1778.40000
37,4,1.00000,27.92000,-37.19300,18.04200,-37.89800,0.13000,76.41100,0.33000,0.04444,0.29500,1.00000,9.93340,0.70868,9.90290,159.00000,22007.00000
37,4,1.00000,24.29100,-37.79800,11.69200,-39.71300,0.06900,188.59000,0.44500,0.06667,0.49000,1.00000,13.01200,0.33498,12.74400,888.62000,300970.00000
37,4,1.00000,10.07900,-39.41000,19.35200,-39.91400,0.12500,77.32300,0.53000,0.04444,0.40500,1.00000,9.66540,0.95071,9.28670,299.95000,186930.00000
37,4,1.00000,11.69200,-39.51100,28.82700,-41.12400,0.13800,125.75000,0.39000,0.04444,0.39000,1.00000,17.35300,0.99349,17.21100,874.35000,400410.00000
37,4,1.00000,28.12100,-44.14800,22.17500,-45.15600,0.12400,48.74000,0.38000,0.04444,0.35000,1.00000,6.04370,0.71509,6.03160,195.73000,97348.00000
37,4,1.00000,26.20600,-44.55100,16.22800,-45.45800,0.07300,137.32000,0.37500,0.04444,0.33000,1.00000,10.02400,0.66716,10.02000,590.87000,170470.00000
37,4,1.00000,10.28100,-27.01300,17.33700,-27.11300,0.11800,60.19200,0.59000,0.04444,0.52000,1.00000,7.10270,0.99180,7.05630,116.44000,10062.00000
37,4,1.00000,10.28100,-27.51700,24.49300,-26.61000,0.13500,107.86000,0.56000,0.04444,0.41500,1.00000,14.56100,0.81203,14.24100,131.84000,7516.40000
37,4,1.00000,28.52500,-24.49300,18.54600,-28.42400,0.13100,84.11300,0.36000,0.04444,0.30000,1.00000,11.01900,0.69854,10.72500,163.53000,22058.00000
37,4,1.00000,25.29900,-27.71800,15.52200,-30.23800,0.09600,106.68000,0.41000,0.04444,0.32000,1.00000,10.24200,0.70355,10.09600,384.15000,155500.00000
37,4,1.00000,10.48300,-37.89800,18.84800,-39.71300,0.16900,55.02600,0.54000,0.04444,0.44000,1.00000,9.29940,0.47417,8.56030,87.89600,4545.50000
37,4,1.00000,12.80100,-36.89000,27.41600,-38.20100,0.11900,123.52000,0.48000,0.04444,0.40000,1.00000,14.69900,0.98991,14.67400,217.41000,46908.00000
37,4,1.00000,27.01300,-36.89000,16.93300,-37.29400,0.09500,106.72000,0.43000,0.04444,0.41000,1.00000,10.13800,0.59589,10.08700,195.91000,14683.00000
37,4,1.00000,21.97300,-37.89800,16.53000,-37.99900,0.06100,89.54100,0.45000,0.04444,0.32000,1.00000,5.46200,0.59564,5.44380,790.00000,304720.00000
37,4,1.00000,10.07900,-36.68900,25.09800,-42.73700,0.14800,111.73000,0.53000,0.04444,0.46000,1.00000,16.53600,0.93605,16.19000,177.66000,16866.00000
37,4,1.00000,11.18800,-36.68900,21.57000,-39.31000,0.11400,98.98600,0.42000,0.04444,0.42000,1.00000,11.28400,0.89908,10.70700,714.44000,309940.00000
37,4,1.00000,26.71000,-39.31000,15.01800,-40.11600,0.07700,152.82000,0.42000,0.04444,0.35500,1.00000,11.76700,0.59740,11.72000,1151.00000,640020.00000
37,4,1.00000,24.99700,-38.10000,13.20400,-40.82100,0.09200,132.11000,0.44500,0.04444,0.38000,1.00000,12.15400,0.12199,12.10300,884.58000,609560.00000
37,4,1.00000,7.25710,-36.38700,14.91700,-36.89000,0.12400,63.10900,0.58000,0.06667,0.56000,1.00000,7.82560,0.97903,7.67690,201.60000,28417.00000
37,4,1.00000,9.77700,-34.16900,26.20600,-37.39400,0.11600,146.71000,0.36000,0.04444,0.35000,1.00000,17.01800,0.91390,16.74300,695.09000,201510.00000
37,4,1.00000,28.32300,-28.82700,16.12700,-31.34700,0.14700,85.16000,0.38000,0.04444,0.33500,1.00000,12.51800,0.42997,12.45400,143.14000,10815.00000
37,4,1.00000,21.87200,-34.27000,10.88600,-36.38700,0.09000,127.52000,0.43000,0.04444,0.38500,1.00000,11.47600,0.69777,11.18900,487.17000,78788.00000
37,4,1.00000,12.80100,-38.50300,21.46900,-40.82100,0.10100,90.04500,0.40000,0.04444,0.34000,1.00000,9.09450,0.98666,8.97290,168.73000,16459.00000
37,4,1.00000,11.99400,-37.69700,27.81900,-42.23300,0.11600,142.68000,0.38000,0.04444,0.34000,1.00000,16.55000,0.89554,16.46200,363.62000,249390.00000
37,4,1.00000,25.70200,-37.99900,16.93300,-36.68900,0.09700,91.44700,0.39000,0.04444,0.31500,1.00000,8.87040,0.60357,8.86640,179.28000,20006.00000
37,4,1.00000,23.98900,-40.01500,13.00200,-40.62000,0.08800,125.89000,0.38000,0.04444,0.35000,1.00000,11.07800,0.59591,11.00300,328.88000,91505.00000
37,4,1.00000,8.97060,-37.39400,22.57800,-42.43400,0.12900,114.72000,0.38000,0.04444,0.38000,1.00000,14.79900,0.95832,14.51000,206.76000,31469.00000
37,4,1.00000,8.66830,-34.87500,27.01300,-44.14800,0.12000,172.51000,0.56000,0.04444,0.45000,1.00000,20.70100,0.98108,20.55500,262.35000,33845.00000
37,4,1.00000,27.71800,-38.10000,20.46100,-37.59600,0.12600,57.83600,0.45000,0.04444,0.44000,1.00000,7.28730,0.71289,7.27460,234.16000,88222.00000
37,4,1.00000,25.60200,-41.72900,14.41300,-42.53500,0.10600,105.90000,0.39500,0.06667,0.35000,1.00000,11.22500,0.66601,11.21700,1046.80000,721790.00000
37,4,1.00000,11.59100,-40.82100,22.07400,-43.54300,0.12800,85.57200,0.58000,0.04444,0.44000,1.00000,10.95300,0.94388,10.83000,147.85000,19825.00000
37,4,1.00000,12.70000,-42.63600,27.31500,-47.67500,0.09000,172.46000,0.40000,0.04444,0.40000,1.00000,15.52100,0.98637,15.46000,784.62000,387920.00000
37,4,1.00000,28.12100,-42.83700,18.04200,-44.75200,0.12600,81.78500,0.37000,0.04444,0.33000,1.00000,10.30500,0.42838,10.26000,172.49000,20427.00000
37,4,1.00000,24.89600,-44.85300,15.82500,-45.25600,0.06500,139.74000,0.38000,0.04444,0.34500,1.00000,9.08310,0.20066,9.08040,1320.10000,520910.00000
37,4,1.00000,12.39800,-20.56200,18.94900,-23.38400,0.11900,60.85100,0.54000,0.04444,0.44000,1.00000,7.24120,0.97597,7.13360,186.86000,19551.00000
37,4,1.00000,12.90200,-23.68700,26.30700,-25.80300,0.11700,116.88000,0.42000,0.04444,0.42000,1.00000,13.67500,0.98166,13.57200,504.05000,125640.00000
37,4,1.00000,23.18300,-27.11300,17.84000,-27.31500,0.09600,56.02600,0.49000,0.08889,0.43500,1.00000,5.37850,0.59615,5.34590,165.43000,13298.00000
37,4,1.00000,21.67100,-30.84300,14.41300,-30.64100,0.06500,112.15000,0.43000,0.04444,0.32500,1.00000,7.28960,0.59570,7.25990,950.18000,398710.00000
37,4,1.00000,10.68400,-27.51700,23.08200,-29.53300,0.12300,104.27000,0.63000,0.04444,0.63000,1.00000,12.82500,0.94911,12.56000,173.16000,12204.00000
37,4,1.00000,11.79300,-27.41600,27.51700,-29.93600,0.11500,140.11000,0.54000,0.04444,0.44000,1.00000,16.11200,0.97217,15.92400,594.63000,944760.00000
37,4,1.00000,29.43200,-23.18300,15.82500,-29.02900,0.12600,117.88000,0.46000,0.04444,0.33500,1.00000,14.85200,0.46350,14.81000,375.98000,41778.00000
